SYSTEM,Empire,DISTANCE,GOOD,Between 140 - 160 Ly,,,Update : 18/08/15 - rev 1383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACTION,Federation,DATAS,OK,Between 130 - 140 Ly and 160 - 180 Ly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alliance,,MAYBE,Between 180 - 240 Ly (good FSD),,,Rev 1382 xlsx download link,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,, = not checked yet,SUPPLY RATE,1-15 t,4 t,11 t,0-9 t,3-15 t,4 t,9-14 t,1-6 t,2-22 t,2-7 t,0-11 t,2-11 t,1-6 t,1-5 t,2-10 t,ND,4-5 t ,3-6 t,5-11 t,2-3 t,5-12 t,4-14 t,2-8 t,11 t,2-17 t,2-5 t,1-10 t,2-4 t,3-9 t,1-7 t,1-6 t,1-10 t,1-7 t,2-10 t,26 t,3-17 t,9-22 t,3-11 t,1-8 t,1-2 t,2-6 t,1-6 t,1-3 t,ND,ND,13 t,1-18 t,1-6 t,1-14 t,2-7 t,1-6 t,2-16 t,4-24 t,2-9 t,1-4 t,1-8 t,ND,2-5 t,7-11 t,1 t,1-12 t,6-14 t,4-7 t,3-5 t,1-9 t,2-7 t,3-11 t,13 t,ND,18 t,ND,3-7 t,3-5 t,11-19 t,6-7 t,3-5t,2-9 t,ND,7 t,ND,6-10 t,1-2 t,1-6 t,6-27 t,5-6 t,3-5 t,1-17 t,4-6 t,1-5 t,1-7 t,ND,1 t,9 t,2-14 t ,3-14 t,3-10 t,4-7 t,2-15 t ,3-10 t,2-6 t,2 t,3 t,5-10 t,2-5 t,ND,1-16 t,3-10 t,1 t,1 t,1-18 t,SUPPLY RATE,,
MAX CAP,SUPPLY RATE,PRICE,ITEM,DIST(Ls),STATION,SYSTEM,39 Tauri,47 Ceti,47 Ceti,Aegaeon,Aerial,Aganippe,Alacarakmo,Alpha Centauri,Altair,Alya,Anduliga,Any Na,Arouca,AZ Cancri,Baltah'Sine,Banki,Bast,Belalans,CD-75 661,Cherbones,Chi Eridani,Coquim,Damna,Dea Motrona,Delta Phoenicis,Deuringas,Diso,Eleu ,Epsilon Indi,Eranin,Eshu,Esuseku,Ethgreze,Fujin,Geawen,George Pantazis,Geras,Goman,Haiden,Havasupai,Hecate,Heike,Helvetitj,HIP 10175,HIP 41181,HIP 59533,HIP 80364,Holva,HR 7221,Irukama,Jaradharre,Jaroua,Jotun (permit),Kachirigin,Kamitra,Kamorin,Kappa Fornacis,Karetii,Karsuki Ti,Kinago,Kongga,Korro Kung,Lave,LDS 883,Leesti,Leesti,LFT 1421,LP 375-25,Mechucos,Medb,Mokojing,Momus Reach,Mukusubii,Mulachi,Neritus,Ngadandari,Nguna,Ngurii,Njangari,Ochoeng,Orrere,Phiagre,Quechua,Rajukru,Rapa Bao,Rusani,Sanuma,Shinrarta Dezhra (permit),Tanmark,Tarach Tor,Terra Mater,Thrutis,Tiolce,Toxandji,Uszaa,Utgaroar,Uzumoku,V1090 Herculis,Vanayequi,Vega (permit),Vidavanta,Volkhab,Wheemete,Witchhaul,Wulpa,Wuthielo Ku,Xihe,Yaso Kondi,Zaonce,Zeessze,SYSTEM,SUPPLY RATE,MAXIMUM CAP
17 t,1-15 t,924 cr,Tauri Chimes,991,Porta,39 Tauri,0,98.65,98.65,70.32,148.24,89.64,191.47,58.63,64.53,113.61,174.66,149.16,122.3,55.79,134.81,78.71,49.32,116.33,126.77,110.94,72.13,108.48,84.15,115.75,142.25,147.39,160.87,166.02,60.06,77.08,262.83,116.17,99.14,13.02,228.25,37.25,9.21,233.22,135.08,99.74,49.37,166.65,151.75,88.64,109.47,177.42,159.99,164.75,160.64,204.65,124.44,203.92,72.12,136.45,199.86,163.03,57.72,186.68,235.36,210.16,142.59,141.22,162.68,28.42,159.29,159.29,83.65,89.66,97.36,95.8,123.58,45.08,176,89.08,88.17,183.15,144.57,225.35,218.71,140.14,163.89,131.47,109.82,194.73,180.83,101.54,222.26,107.24,61.9,68.25,42.87,92.62,79.36,197.42,162.34,94.38,95.79,93.99,170.53,67.89,166.54,153.62,266.51,35.63,138.76,196.31,87.14,163.92,164.19,42.28,39 Tauri,1-15 t,17 t
7 t,4 t,2654 cr,Aepyornis Egg,"600,000.00",Glushko Station,47 Ceti,98.65,0,0,155.67,122.79,166.75,287.58,123.4,122.25,107.28,205.72,187.07,164.83,147.83,137.28,158.65,135.01,101.66,151.13,203.04,85.24,82.43,154.22,190.09,83.92,193.75,213.48,203.74,116.42,156.91,188.19,174.34,190.18,90.92,250.2,102.64,107.02,183.83,165.01,85.07,101.62,223.54,218.63,64.93,205.15,201.86,232.09,91.14,156.02,185.58,173.03,182.21,70.77,117.74,118.69,139.06,57.66,225.06,186.7,219.51,219.04,204.92,214.96,87.46,212.52,212.52,146.24,178.91,180.3,143.95,198.61,87.99,163.57,132.16,149.42,167.07,110.06,231.49,133.22,171.54,215.15,108.62,66.91,275.77,119.8,188.18,268.98,162.93,42.24,38.01,104.96,154.01,103.33,219.84,214.14,33.54,156.19,163.56,183.69,132.04,232.28,245.59,230.12,72.98,128.44,118.96,105.43,69.55,216.39,115.31,47 Ceti,4 t,7 t
12 t,11 t,1675 cr,Ceti Rabbits,"600,000.00",Kaufmanis Hub,47 Ceti,98.65,0,0,155.67,122.79,166.75,287.58,123.4,122.25,107.28,205.72,187.07,164.83,147.83,137.28,158.65,135.01,101.66,151.13,203.04,85.24,82.43,154.22,190.09,83.92,193.75,213.48,203.74,116.42,156.91,188.19,174.34,190.18,90.92,250.2,102.64,107.02,183.83,165.01,85.07,101.62,223.54,218.63,64.93,205.15,201.86,232.09,91.14,156.02,185.58,173.03,182.21,70.77,117.74,118.69,139.06,57.66,225.06,186.7,219.51,219.04,204.92,214.96,87.46,212.52,212.52,146.24,178.91,180.3,143.95,198.61,87.99,163.57,132.16,149.42,167.07,110.06,231.49,133.22,171.54,215.15,108.62,66.91,275.77,119.8,188.18,268.98,162.93,42.24,38.01,104.96,154.01,103.33,219.84,214.14,33.54,156.19,163.56,183.69,132.04,232.28,245.59,230.12,72.98,128.44,118.96,105.43,69.55,216.39,115.31,47 Ceti,11 t,12 t
14 t,0-9 t,1283 cr,Chateau De Aegaeon,"11,655.00",Schweikart Station,Aegaeon,70.32,155.67,155.67,0,153.24,94.45,166.39,80.28,95.96,173.62,145.35,110.89,85.69,34.96,133.68,33.03,87.31,123.49,121.56,85.43,101.25,143.55,110.38,114.08,171.46,95.57,135.27,181.75,86.29,91.98,284.03,159.68,97.9,75.62,232.1,84.4,65.21,238.77,193.17,169.95,114.92,185.21,151.26,150.92,87.81,153.07,178.4,195.76,171.02,199.02,116.63,194.88,122.45,200.62,244.64,226.38,103.47,221.94,244.44,240.94,164.5,101.71,135.99,96.14,132.98,132.98,117.44,69.54,27.69,106.48,73.85,107.71,238.08,108.04,45.7,196.12,214.69,202.32,263.29,195.13,140.52,154.82,137.14,197.96,200.13,118.82,178.99,87.56,115.01,126.92,106.67,139.87,109.22,166.13,138.57,145.33,143.51,118.21,211.61,98.5,172.55,108.27,270.55,96.88,204.9,226.52,129.31,212.22,135.71,85.09,Aegaeon,0-9 t,14 t
15 t,3-15 t,621 cr,Edan Apples of Aerial,180,Andrade Legacy,Aerial,148.24,122.79,122.79,153.24,0,184.58,308.46,141.74,150.88,185,120.06,104.09,97.04,159.69,58.38,163.28,186.59,70.08,97.41,211.64,90.27,86.31,221.28,201.27,54.96,120.98,166.19,211.22,135.36,186.37,148.04,248.71,220.81,145.5,220.36,144.05,154.49,88.66,263.91,197.2,182.63,256.4,227.11,173.45,237.14,113.66,281.99,94.75,104.1,71.8,146.37,60.67,152.27,209.09,136.62,228.59,100.32,278.64,93.54,239.6,279.29,158.41,165.61,161.61,165.17,165.17,189.96,187.12,165.91,142.26,163.5,170.83,254,138.08,115.16,111.68,225.67,120.61,148.81,260.38,169.13,74.29,69.83,315.66,72.35,247.44,186.23,129.74,109.12,119.41,180.25,238.01,114.13,117.75,168.33,101.87,240.56,201.81,228.37,165.26,251.98,256.86,136.52,145.16,246.31,93.32,140.4,120.98,164.37,157.88,Aerial,3-15 t,15 t
4 t,4 t,8966 cr,Aganippe Rush,133,Julian Market,Aganippe,89.64,166.75,166.75,94.45,184.58,0,141.31,47.04,46.57,122.18,150.72,144.6,127.95,61.11,142.14,123.29,59.61,181.23,110.18,52.38,103.02,131.98,144.47,26.11,186.4,161.31,102.61,95.61,54.88,18.56,320.91,102.66,49.1,102.6,164.26,65.16,88.65,271.88,152.88,152.05,99.26,91.55,63,170.34,120.84,155.52,102.98,232.24,145.53,214.85,71.72,229.54,161.06,150.95,233.77,171.66,118.27,132.15,260.28,157.82,109.65,95.13,105.56,109.35,101.68,101.68,42.29,36.09,113.46,53.68,87.04,127.28,176.94,58.03,105.22,170.37,186.96,214.24,255.59,136.81,103.59,144.44,176.37,131.39,238.72,109.05,179.11,73.86,129.32,128.84,92.81,125.87,82.73,182.7,102.34,148.01,124.51,34.13,129.14,37.25,81.49,164.88,269.89,123.29,196.64,247.11,82.7,220.69,108.93,54.35,Aganippe,4 t,4 t
14 t,9-14 t,1421 cr,Alacarakmo Skin Art,16,Weyl Gateway,Alacarakmo,191.47,287.58,287.58,166.39,308.46,141.31,0,181.09,183.68,244.79,254.58,241.55,227.81,152.31,269.97,179.3,154.11,288.09,238.05,98.52,235.23,270.39,181.67,134.55,318.89,237.57,199.92,206.24,190.5,141.8,445.2,161.55,100.54,201.87,269.96,189.93,184.29,396.28,213.29,252.83,196.15,159.96,143.1,265.12,112.52,264.7,118.52,352.55,280.79,338.72,195.96,347.2,253.32,265.09,372.61,283.52,241.93,201.94,391.4,268.95,113.91,181.75,201.82,205.63,198.74,198.74,163.74,123.36,164.92,192.5,161.21,215.52,277.42,198.79,199.58,306.13,287.94,322.94,394.03,206.73,201.9,282.89,294.15,88.14,360.85,121.5,250.45,191.62,250.49,252.96,189.41,174.22,221.66,283.67,200.65,277.67,173.33,147.29,241.25,171.98,141.13,130.47,400.34,223.03,271.85,378.48,221.6,350.82,203.66,176.77,Alacarakmo,9-14 t,14 t
7 t,1-6 t,3319 cr,Centauri Mega Gin,"6,942,672.00",Hutton Oribtal,Alpha Centauri,58.63,123.4,123.4,80.28,141.74,47.04,181.09,0,17.44,102.41,134.78,123.12,102.42,51.99,106.24,106.84,57.23,137.73,83.47,86.96,56.67,89.39,134.72,69.78,140.63,139.9,108.32,111.73,9.64,45.05,274.41,117.3,84.07,69.76,170.71,27.99,61.71,229.16,153.08,127,79.76,126.27,102.72,136.36,132.14,137.12,140.73,185.29,118.09,180.33,68.18,191.56,124.79,133.13,193.11,156.57,72.16,155.41,220.24,163.08,140.03,98.44,110.65,80.31,107.16,107.16,52.81,61.96,105.05,37.8,91.56,99.31,169.1,33.43,80.05,142.71,164.27,191.15,214.36,142.45,110.15,104.9,129.93,174.92,192.3,123.44,179.35,60.54,84.6,85.77,73.92,125.25,41.7,163.18,108.82,103.08,125.4,61.47,132.98,26.9,122.45,174.47,237.43,87.93,177.29,201.05,52.13,175.87,113.11,28.91,Alpha Centauri,1-6 t,7 t
22 t,2-22 t,489 cr,Altairian Skin,661,Solo Orbiter,Altair,64.53,122.25,122.25,95.96,150.88,46.57,183.68,17.44,0,87.14,145.96,138.01,118.35,65.63,115.02,121.32,55.24,148.83,91.62,93.24,62.7,89.02,138.34,68,144.11,156.94,115.57,101.8,17.05,42.46,279.67,105.81,84.65,75.54,165.94,28.49,68.34,236.82,141.26,117.82,73.93,114.63,97.75,135.18,139.71,147.32,131.49,190.12,119.48,188.47,73.12,201.89,128.54,118,189.07,140.82,76.53,139.87,225.6,149.65,132.75,110.56,118.23,81.26,114.74,114.74,39.45,70.11,121.1,38.6,105.88,100.15,152.53,31.23,97.38,142.97,152.6,201.02,210.67,127.97,116.45,106.58,137.06,169.03,199.01,122.93,190.32,72.82,86.77,84.27,69.3,120.24,41.76,175,115.34,102.09,119.5,51.43,116.67,14.64,114.63,185.69,241.4,91.34,169.49,203.9,40.62,174.42,121.27,26.37,Altair,2-22 t,22 t
16 t,2-7 t,454 cr,Alya Body Soup,"540,000.00",Malaspina Gateway,Alya,113.61,107.28,107.28,173.62,185,122.18,244.79,102.41,87.14,0,212.84,211.09,192.42,145.63,162.74,190.74,106.62,185.99,150.95,170.85,106.9,101.17,170.6,136.59,151.09,232.85,187.68,126.15,96.81,113.13,278.28,105.61,148.42,117.6,190.53,89.27,120.31,256.16,108.06,73.66,84.22,135,151.01,123.91,201.67,209.57,154.54,191.4,148.78,224.66,143.26,240.75,141.26,32.4,154.39,54.49,104.87,122.15,239.93,129.95,155.96,192.94,190.56,106.25,187.64,187.64,84.32,151.92,200.91,109.84,192.53,116.65,72.2,98.36,175.22,161.63,83.2,253.62,174.56,90.77,186.45,126.14,157.51,203.49,210.62,161.58,264.03,152.74,101.63,85.16,89.09,128.81,90.82,238.66,185.97,96.46,125.72,101.21,82.64,88.48,154.08,255.73,258.03,115.86,128.52,197.76,61.65,147.59,194.29,90.81,Alya,2-7 t,16 t
16 t,0-11 t,891 cr,Anduliga Fire Works,"626,220.00",Celsius Estate,Anduliga,174.66,205.72,205.72,145.35,120.06,150.72,254.58,134.78,145.96,212.84,0,47.36,69.13,146.56,73.85,170.92,188.12,160.27,62.44,164.56,125.78,136.88,248.37,152.7,157.83,97.99,70.59,163.14,133.5,163.72,261.52,248.08,189.82,180.61,151.46,157.26,177.22,181.82,287.08,248.97,211.01,213.35,166.91,243.37,224.81,14.02,249.28,212.35,93.11,100.97,87.26,122.26,220.59,244.49,220.8,262.83,156.37,254.22,166.65,211.81,259.89,72.94,67.96,200.07,69.85,69.85,177.64,148.39,148.13,113.99,97.55,216.44,280.54,121.33,104.43,109.72,281.54,68.49,238,272.33,74.1,117.63,169.71,268.62,192.13,244.04,67.97,78.35,172.97,180.54,205.33,257.31,125.4,33.92,73.71,176.39,258.29,179.5,216.92,155.67,196.31,236.8,160.45,195.31,302.89,206.47,151.79,223.65,64.25,163.1,Anduliga,0-11 t,16 t
11 t,2-11 t,1790 cr,Any Na Coffee,581,Libby Orbital,Any Na,149.16,187.07,187.07,110.89,104.09,144.6,241.55,123.12,138.01,211.09,47.36,0,28.17,121.55,72.87,131.52,170.32,126.08,71.44,151.34,111.66,133.68,216.31,152.89,147.59,51.64,92.84,183.14,122.94,154.11,247.41,238.21,176.52,153.33,189.55,141.35,150.65,174.26,274.14,233.42,192.24,222.51,176.4,217.55,194.87,55.46,246.54,190.45,115.69,110.37,98.77,114.26,189.77,242.26,223.42,263.84,135.67,263.35,171.81,236.2,249.2,72.6,90.82,175.19,90.99,90.99,172.33,134,110.59,115.85,80.86,189.61,281.98,121.46,67.55,135.32,270.61,94.32,240.14,265.53,98.49,121.24,143.55,265.91,172.7,221.55,94.75,73.72,152.05,163.48,185.9,235.94,120.31,56.45,97.23,162.55,238.12,174.92,230.56,147.98,205.7,201.86,182.79,168,282.72,196.86,150.63,212.46,87.21,148.22,Any Na,2-11 t,11 t
12 t,1-6 t,1191 cr,Arouca Conventula Sweets,410,Shipton Orbital,Arouca,122.3,164.83,164.83,85.69,97.04,127.95,227.81,102.42,118.35,192.42,69.13,28.17,0,97.61,69.81,105.8,146.46,106.22,68.46,135.65,91.2,119.46,188.8,140.23,135.59,46.32,98.9,177.76,102.52,134.91,241.47,216.51,157.55,125.99,196.24,117.85,123.63,175.96,250.23,209.04,166.87,211.35,168.24,191.11,171.92,75.62,230.08,174.91,117.2,121.11,93.7,121.02,162.69,223.03,214.08,245.89,111.9,250.15,176.66,231.46,229.09,73.4,97.77,148.24,96.81,96.81,153.46,116.28,88.78,102.67,72.25,162.2,263.8,106.65,40.7,139.05,247.82,117.53,231.36,244.08,104.63,112.98,123.54,251.67,162.3,197.45,118.03,63.27,128.13,140.51,160.44,210.09,102.91,82.66,103.09,142.51,212.61,157.1,219.37,128.42,196.46,182.45,195.04,140.81,256.59,187.88,133.71,196.74,95.22,125.21,Arouca,1-6 t,12 t
5 t,1-5 t,6442 cr,Az Cancri Formula 42,16,Fisher Station,AZ Cancri,55.79,147.83,147.83,34.96,159.69,61.11,152.31,51.99,65.63,145.63,146.56,121.55,97.61,0,131.75,62.38,57.22,138.11,112.37,63.19,89.7,130.54,107.51,83.01,169.62,119.9,122.81,151.32,59.95,57.11,292.89,128.71,68.87,66.12,209.2,58.43,51.22,247.96,166.71,149.95,91.99,151.25,121.04,144.02,86.99,153.07,146.58,201.66,158.34,202.96,96.94,205.63,123.01,173.22,234.08,198.23,95.06,186.99,247.51,210.13,135.96,96.36,124.39,82.46,120.86,120.86,82.94,42.14,58.57,80.8,72.93,97.78,208.07,82,61.24,183.98,193.05,207.13,254.11,164.41,126.84,144.47,142.7,170.33,208.55,100.15,181.14,75.12,106.55,114.11,83.48,119.35,88.71,172.38,125.03,135.07,121.58,83.26,178.84,65.54,140.7,123.19,269.3,89.89,188.63,227.92,103.08,206.66,125.44,55.05,AZ Cancri,1-5 t,5 t
18 t,2-10 t,825 cr,Baltha'sine Vacuum Krill,356,Baltha'sine Station,Baltah'Sine,134.81,137.28,137.28,133.68,58.38,142.14,269.97,106.24,115.02,162.74,73.85,72.87,69.81,131.75,0,154.6,160.35,106.22,40.34,171.73,69.01,69.76,215.75,154.04,84.67,110.24,110.14,158.94,100.41,148.35,202.3,219.98,184.22,137.34,165.61,118.57,140.5,135.44,246.09,192.5,167.51,208.7,175.47,184.2,216.94,66.96,241.52,143.6,57.45,74.11,91.47,91.24,165.45,191.7,151.81,210.61,96.92,236.5,121.83,194.18,245.88,109.59,109.78,154.11,109.41,109.41,153.1,148.18,147.39,94.74,122.18,168.58,232.83,93.8,92.95,74.86,222.11,97.43,169.22,235.37,112.38,50.29,103.85,272.64,128.26,224.68,141.51,80.64,111.33,118.08,163.93,222.36,79.19,85.14,111.75,107.43,223.65,162.3,188.45,128.83,201.6,240.45,137.86,144.86,247.38,137.65,107.22,149.8,109.06,129.68,Baltah'Sine,2-10 t,18 t
18 t,ND,634 cr,Banki Amphibious Leather,"531,869.00",Antonio De Andrade Vista,Banki,78.71,158.65,158.65,33.03,163.28,123.29,179.3,106.84,121.32,190.74,170.92,131.52,105.8,62.38,154.6,0,103.05,119.86,148.79,110.98,119.91,161.66,96.45,144.05,181.05,104.7,167.32,212.59,111.94,117.75,282.63,173.14,118.93,79.27,264.29,103.98,72.58,244.71,199.57,174.33,122.71,212.24,181.66,144.82,83.64,178.43,198.13,193.45,196.67,215.55,148.78,204.95,112.64,214.96,256.51,241.43,113.62,245.79,256.52,269.57,177.84,132.48,167.85,98.43,164.98,164.98,141.12,98.28,36.64,136.55,103.72,104.55,253.34,136.5,67.42,220.8,220.15,223,273.76,207.68,172.75,174.85,137.64,216.88,200.56,121.91,205.03,119.05,121.87,135.61,115.1,140.95,133.1,187.83,170.8,154.71,145.93,142.96,236.97,123.72,201.13,95.99,288.88,95.96,201.62,231.37,152.41,216.72,167.26,105.67,Banki,ND,18 t
10 t,4-5 t ,1089 cr,Bast Snake Gin,202,Hart Station,Bast,49.32,135.01,135.01,87.31,186.59,59.61,154.11,57.23,55.24,106.62,188.12,170.32,146.46,57.22,160.35,103.05,0,163.81,140.42,82.1,100.57,132.87,90.2,83.25,179.42,174.22,155.02,140.92,62.96,41.71,307.28,73.99,57.64,60.6,214.41,45.36,46.57,273.5,109.97,106.71,46.61,124.86,116.72,120,95.75,191.99,110.81,210.05,173.57,233.97,119.11,240.16,114.17,129.18,226.6,153.67,97,146.86,269.47,189.04,94.97,139.88,157.56,58.76,153.75,153.75,48.44,66.71,111.79,89.84,122.74,73.74,159.16,85.61,112.79,197.15,147.27,246.43,247.03,108.01,156.93,154.89,155.97,146.36,225.58,68.99,226.06,111.16,101.59,100.99,38.93,70.66,91.66,216.17,155.51,127.75,70.9,53.35,146.34,46.98,125.88,150.09,291.96,78.42,142.99,236.07,87.67,199.4,160.18,32.87,Bast,4-5 t ,10 t
